Date,Not indexed,Indexed,Impressions
2026-02-26,,,18
2026-02-27,,,47
2026-02-28,,,46
2026-03-01,,,69
2026-03-02,,,86
2026-03-03,382,81,11
2026-03-04,386,69,20
2026-03-05,386,69,12
2026-03-06,386,69,10
2026-03-07,386,69,4
2026-03-08,396,56,6
2026-03-09,396,56,4
2026-03-10,396,56,6
2026-03-11,400,47,7
2026-03-12,400,47,4
2026-03-13,400,47,6
2026-03-14,400,47,0
2026-03-15,400,47,0
2026-03-16,395,47,0
2026-03-17,395,47,0
2026-03-18,401,35,5
2026-03-19,401,35,5
2026-03-20,401,35,0
2026-03-21,401,35,3
2026-03-22,273,26,0
2026-03-23,273,26,2
2026-03-24,273,26,5
2026-03-25,271,23,1
2026-03-26,271,23,1
2026-03-27,271,23,0
2026-03-28,271,23,2
2026-03-29,272,22,1
2026-03-30,272,22,2
2026-03-31,272,22,1
2026-04-01,264,21,7
2026-04-02,264,21,4
2026-04-03,264,21,0
2026-04-04,264,21,1
2026-04-05,377,19,1
2026-04-06,377,19,0
2026-04-07,240,19,2
2026-04-08,240,19,1
2026-04-09,240,19,2
2026-04-10,240,19,2
